"Arquivo","Area","Imports","ImportadoPor","TemMain","SideEffects","Risco","Sugestao"
"_graveyard\quarentena\_backup\backup_20260120_163057\.quarantine\legacy\20260120_151252\tools\bootstrap.py","OUTRO","6","0","True","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\quarentena\_backup\backup_20260120_163057\.quarantine\legacy\20260120_151252\tools\legacy_backup\autofix_engine.py","OUTRO","4","0","False","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\quarentena\_backup\backup_20260120_163057\.quarantine\legacy\20260120_151252\tools\legacy_backup\fix_test_imports.py","OUTRO","1","0","True","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\quarentena\_backup\backup_20260120_163057\.quarantine\legacy\20260120_151252\tools\legacy_backup\run_tests_with_log.py","OUTRO","5","0","True","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\quarentena\_backup\backup_20260120_163822\.quarantine\legacy\20260120_151252\tools\legacy_backup\run_tests_with_log.py","OUTRO","5","0","True","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"scripts\sanitize.py","SCRIPT","9","0","True","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\_backup\backup_20260120_163822\.quarantine\scripts\analise_geral.py","OUTRO","10","0","True","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\quarentena\_backup\backup_20260120_163822\.quarantine\legacy\20260120_151252\tools\legacy_backup\fix_test_imports.py","OUTRO","1","0","True","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\quarentena\_backup\backup_20260120_163822\.quarantine\legacy\20260120_151252\tools\legacy_backup\autofix_engine.py","OUTRO","4","0","False","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\quarentena\_backup\backup_20260120_163822\.quarantine\legacy\20260120_151252\tools\legacy_backup\apply_all_patches.py","OUTRO","2","0","False","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\quarentena\_backup\backup_20260120_163822\.quarantine\legacy\20260120_151252\tools\convert_legacy_tools.py","OUTRO","5","0","True","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\quarentena\_backup\backup_20260120_163822\.quarantine\legacy\20260120_151252\tools\bootstrap.py","OUTRO","6","0","True","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\_backup\backup_20260120_163822\.quarantine\scripts\scaffold_arquitetura_alvo.py","OUTRO","7","0","True","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\.quarantine\migrar_db.py","OUTRO","1","0","False","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\quarentena\_backup\backup_20260120_163057\.quarantine\legacy\20260120_151252\tools\legacy_backup\apply_all_patches.py","OUTRO","2","0","False","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\.quarantine\teste_consolidacao.py","OUTRO","2","0","False","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\_backup\backup_20260120_163822\.quarantine\teste_consolidacao.py","OUTRO","2","0","False","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\_backup\backup_20260120_163822\.quarantine\migrar_db.py","OUTRO","1","0","False","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\quarentena\.quarantine\legacy\20260120_151252\tools\legacy_backup\run_tests_with_log.py","OUTRO","5","0","True","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\.quarantine\legacy\20260120_151252\tools\dashboards\admin_dashboard.py","OUTRO","5","0","False","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\.quarantine\scripts\scaffold_arquitetura_alvo.py","OUTRO","7","0","True","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\_backup\backup_20260120_163822\.quarantine\legacy\20260120_151252\tools\dashboards\admin_dashboard.py","OUTRO","5","0","False","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\.quarantine\scripts\analise_geral.py","OUTRO","10","0","True","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\_backup\backup_20260120_163822\_quarantine\auto_20260120_152602\maintenance_dashboard_window.py","OUTRO","2","0","False","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\quarentena\.quarantine\legacy\20260120_151252\tools\legacy_backup\fix_test_imports.py","OUTRO","1","0","True","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\quarentena\.quarantine\legacy\20260120_151252\tools\legacy_backup\autofix_engine.py","OUTRO","4","0","False","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\quarentena\.quarantine\legacy\20260120_151252\tools\legacy_backup\apply_all_patches.py","OUTRO","2","0","False","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\quarentena\.quarantine\legacy\20260120_151252\tools\convert_legacy_tools.py","OUTRO","5","0","True","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\quarentena\.quarantine\legacy\20260120_151252\tools\bootstrap.py","OUTRO","6","0","True","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\quarentena\_backup\backup_20260120_163057\legacy\20260120_151252\tools\legacy_backup\patch_statusbar_layout.py","OUTRO","2","0","False","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\_backup\backup_20260120_163057\scripts\sanitize.py","OUTRO","9","0","True","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\_backup\backup_20260120_163822\scripts\sanitize.py","OUTRO","9","0","True","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\quarentena\legacy\20260120_151252\tools\legacy_backup\patch_statusbar_layout.py","OUTRO","2","0","False","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\quarentena\_backup\backup_20260120_163822\legacy\20260120_151252\tools\legacy_backup\patch_statusbar_layout.py","OUTRO","2","0","False","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\_backup\backup_20260120_163057\.quarantine\scripts\analise_geral.py","OUTRO","10","0","True","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\quarentena\_backup\backup_20260120_163057\.quarantine\legacy\20260120_151252\tools\convert_legacy_tools.py","OUTRO","5","0","True","True","5","ORFAO / CANDIDATO A EXCLUSAO"
"_graveyard\_backup\backup_20260120_163057\.quarantine\migrar_db.py","OUTRO","1","0","False","True","5","ORFAO / CANDIDATO A EXCLUSAO"
